date,home_team,home_continent,away_team,away_continent,team,scorer,minute,own_goal,penalty
11/1/1926,Paraguay,South America,Uruguay,South America,Uruguay,Zoilo Saldombide,47,FALSE,TRUE
11/1/1926,Paraguay,South America,Uruguay,South America,Paraguay,Manuel Fleitas Solich,58,FALSE,TRUE
11/1/1926,Paraguay,South America,Uruguay,South America,Uruguay,Héctor Castro,72,FALSE,FALSE
11/1/1926,Paraguay,South America,Uruguay,South America,Uruguay,Zoilo Saldombide,82,FALSE,FALSE
11/3/1926,Chile,South America,Paraguay,South America,Chile,David Arellano,21,FALSE,FALSE
11/3/1926,Chile,South America,Paraguay,South America,Paraguay,Luis Vargas Peña,40,FALSE,FALSE
11/3/1926,Chile,South America,Paraguay,South America,Chile,Manuel Ramírez,42,FALSE,FALSE
11/3/1926,Chile,South America,Paraguay,South America,Chile,David Arellano,64,FALSE,FALSE
11/3/1926,Chile,South America,Paraguay,South America,Chile,David Arellano,71,FALSE,FALSE
11/3/1926,Chile,South America,Paraguay,South America,Chile,Manuel Ramírez,82,FALSE,FALSE
10/30/1927,Argentina,South America,Bolivia,South America,Argentina,Segundo Luna,18,FALSE,FALSE
10/30/1927,Argentina,South America,Bolivia,South America,Argentina,Alfredo Carricaberry,20,FALSE,FALSE
10/30/1927,Argentina,South America,Bolivia,South America,Argentina,Humberto Recanatini,24,FALSE,TRUE
10/30/1927,Argentina,South America,Bolivia,South America,Argentina,Manuel Seoane,29,FALSE,FALSE
10/30/1927,Argentina,South America,Bolivia,South America,Argentina,Alfredo Carricaberry,36,FALSE,FALSE
10/30/1927,Argentina,South America,Bolivia,South America,Bolivia,Mario Alborta,42,FALSE,FALSE
10/30/1927,Argentina,South America,Bolivia,South America,Argentina,Segundo Luna,56,FALSE,FALSE
10/30/1927,Argentina,South America,Bolivia,South America,Argentina,Manuel Seoane,79,FALSE,FALSE
11/1/1927,Peru,South America,Uruguay,South America,Uruguay,Daniel Ulloa,49,TRUE,FALSE
11/1/1927,Peru,South America,Uruguay,South America,Uruguay,Antonio Sacco,52,FALSE,FALSE
11/1/1927,Peru,South America,Uruguay,South America,Uruguay,Antonio Sacco,71,FALSE,FALSE
11/1/1927,Peru,South America,Uruguay,South America,Uruguay,Héctor Castro,75,FALSE,FALSE
11/6/1927,Bolivia,South America,Uruguay,South America,Uruguay,Pedro Petrone,18,FALSE,FALSE
11/6/1927,Bolivia,South America,Uruguay,South America,Uruguay,Roberto Figueroa,19,FALSE,FALSE
11/6/1927,Bolivia,South America,Uruguay,South America,Uruguay,Juan Arremón,43,FALSE,FALSE
11/6/1927,Bolivia,South America,Uruguay,South America,Uruguay,Pedro Petrone,65,FALSE,FALSE
11/6/1927,Bolivia,South America,Uruguay,South America,Uruguay,Roberto Figueroa,67,FALSE,FALSE
11/6/1927,Bolivia,South America,Uruguay,South America,Uruguay,Héctor Castro,68,FALSE,FALSE
11/6/1927,Bolivia,South America,Uruguay,South America,Uruguay,Roberto Figueroa,69,FALSE,FALSE
11/6/1927,Bolivia,South America,Uruguay,South America,Uruguay,Pedro Petrone,81,FALSE,FALSE
11/6/1927,Bolivia,South America,Uruguay,South America,Uruguay,Héctor Scarone,86,FALSE,FALSE
11/13/1927,Peru,South America,Bolivia,South America,Bolivia,José Bustamante,13,FALSE,FALSE
11/13/1927,Peru,South America,Bolivia,South America,Bolivia,José Bustamante,14,FALSE,FALSE
11/13/1927,Peru,South America,Bolivia,South America,Peru,Demetrio Neyra,31,FALSE,FALSE
11/13/1927,Peru,South America,Bolivia,South America,Peru,Jorge Sarmiento,41,FALSE,FALSE
11/13/1927,Peru,South America,Bolivia,South America,Peru,Alberto Montellanos,43,FALSE,FALSE
11/20/1927,Argentina,South America,Uruguay,South America,Uruguay,Héctor Scarone,33,FALSE,FALSE
11/20/1927,Argentina,South America,Uruguay,South America,Argentina,Humberto Recanatini,56,FALSE,TRUE
11/20/1927,Argentina,South America,Uruguay,South America,Argentina,Segundo Luna,70,FALSE,FALSE
11/20/1927,Argentina,South America,Uruguay,South America,Uruguay,Héctor Scarone,79,FALSE,FALSE
11/20/1927,Argentina,South America,Uruguay,South America,Argentina,Adhemar Canavesi,85,TRUE,FALSE
11/27/1927,Peru,South America,Argentina,South America,Argentina,Manuel Ferreira,1,FALSE,FALSE
11/27/1927,Peru,South America,Argentina,South America,Peru,Alejandro Villanueva,3,FALSE,FALSE
11/27/1927,Peru,South America,Argentina,South America,Argentina,Juan Maglio,22,FALSE,FALSE
11/27/1927,Peru,South America,Argentina,South America,Argentina,Juan Maglio,25,FALSE,FALSE
11/27/1927,Peru,South America,Argentina,South America,Argentina,Manuel Ferreira,30,FALSE,FALSE
11/27/1927,Peru,South America,Argentina,South America,Argentina,Alfredo Carricaberry,38,FALSE,FALSE
11/1/1929,Paraguay,South America,Uruguay,South America,Paraguay,Aurelio González,16,FALSE,FALSE
11/1/1929,Paraguay,South America,Uruguay,South America,Paraguay,Diógenes Domínguez,55,FALSE,FALSE
11/1/1929,Paraguay,South America,Uruguay,South America,Paraguay,Aurelio González,86,FALSE,FALSE
11/3/1929,Argentina,South America,Peru,South America,Argentina,Carlos Peucelle,6,FALSE,FALSE
11/3/1929,Argentina,South America,Peru,South America,Argentina,Adolfo Zumelzú,38,FALSE,FALSE
11/3/1929,Argentina,South America,Peru,South America,Argentina,Adolfo Zumelzú,58,FALSE,FALSE
